last_name, first_name,player_id,year,p_total_pa,p_strikeout,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,breaking_avg_speed,breaking_avg_spin,breaking_avg_break_x,breaking_avg_break_z,
Garcia, Deivi,665620,2020,146,33,91.9,2178,-8.3,-13.9,78.1,2631,6.8,-56.6,
Garcia, Rony,665621,2020,96,14,93.3,2276,-9.5,-20,85.6,2206,3.9,-33.3,
Anderson, Ian,666120,2020,138,41,94.1,2063,-4.6,-12.4,80.1,2098,1.6,-48.8,
Luzardo, Jesus,666200,2020,248,59,95.5,2439,14.6,-16.9,84,2533,-1.2,-39.3,
King, John,667463,2020,51,9,93.8,2094,15.9,-20.9,81.8,2498,-3.2,-46.1,
Dugger, Robert,667498,2020,56,4,92.1,2321,-9.2,-16.1,79.4,2457,6.9,-47.4,
Plesac, Zach,668676,2020,206,57,92.8,2086,-7.6,-14.7,84.5,2137,1.7,-35.5,
Gallen, Zac,668678,2020,291,82,93.2,2380,-3.6,-14,81.2,2432,6.3,-50.9,
Scrubb, Andre,668687,2020,102,24,,,,,79.1,2773,6.4,-63.9,
Wilson, Bryse,669060,2020,73,15,94.2,2177,-8.1,-16.2,86.1,2190,5.7,-30.4,
May, Dustin,669160,2020,224,44,99.1,2341,-10.4,-13.4,86.8,3090,10,-42,
Burnes, Corbin,669203,2020,240,88,96.1,2669,-2.8,-13.2,84.4,2932,9.1,-40.6,
Akin, Keegan,669211,2020,116,35,91.9,2389,11.1,-14.5,78.9,2489,-7.3,-49.7,
Skubal, Tarik,669373,2020,134,37,94.4,2422,11.1,-13.8,82.9,2268,-3.1,-42.4,
Rogers, Trevor,669432,2020,130,39,93.6,2426,13.5,-16.6,81,2021,-1.4,-38.6,
Bieber, Shane,669456,2020,297,122,94.1,2354,-9,-12.5,83.9,2413,6.7,-50,
Baragar, Caleb,670056,2020,88,19,93.8,2491,7.9,-12.1,82,2934,-10.4,-44,
Schreiber, John,670167,2020,70,14,89.8,2142,-2.5,-27.7,77.6,2441,15.3,-43.8,
Oviedo, Johan,670912,2020,112,16,94.8,2277,-3.6,-19.2,82.8,2523,7.9,-41.7,
Richards, Trevor,670950,2020,150,27,90.5,2155,-6.9,-14.2,82.6,2038,3.7,-38.9,
Morejon, Adrian,670970,2020,79,25,96.6,2404,10.5,-15.4,82.9,2663,-11.1,-44.3,
Ramirez, Yohan,670990,2020,94,26,95.6,2362,-9.1,-15.2,81.9,2417,17.7,-37.6,
Hernandez, Carlos,672578,2020,67,13,95.2,2289,-6.7,-13.8,83,2261,4.2,-46.7,
Patino, Luis,672715,2020,85,21,96.7,2468,-1.7,-12.1,84.6,2650,10.9,-37.2,
Hirano, Yoshihisa,673633,2020,63,11,89.9,2117,-9.8,-16,82.8,2519,-10.2,-41.8,
Karinchak, James,675916,2020,109,53,95.5,2396,-5.1,-9.5,83.2,2356,-2.4,-46.6,
Howard, Spencer,675921,2020,113,23,94,2345,-9.9,-13.1,82.1,2335,5.6,-43.9,
Heuer, Codi,676051,2020,92,25,97.8,2305,-11.3,-16.2,87.8,2114,3.7,-32.4,
Elledge, Seth,676220,2020,52,14,,,,,83.2,2457,3.3,-46.8,
Fleming, Josh,676596,2020,130,25,90.5,1952,10.9,-20.2,77.8,1802,-0.7,-48.6,
Zuber, Tyler,676604,2020,99,30,94.1,2243,-8.1,-16,83.3,2726,8.9,-42.6,
Margevicius, Nick,676606,2020,170,36,90,2126,4.4,-15.7,78.4,1919,-6.2,-47.7,
Dobnak, Randy,677976,2020,200,27,92.9,2052,-11,-24,83.4,2392,1.6,-39.2,
Gerber, Joey,680702,2020,62,6,93.1,2246,-10.5,-15.5,83.8,1993,4.6,-32.3,
Yamaguchi, Shun,685493,2020,120,26,90.8,2129,-10.9,-17.7,80.3,2329,5.9,-41,
